row_id,title,url,area,block,scope,property_type,size_marla,beds,baths,asking_price,comp_count,comp_low,comp_typical,comp_high,position,deviation,confidence,predicted_price,image
15367,Spanish Design House For Sale,https://www.zameen.com/Property/main_canal_bank_road_al_hafeez_garden_-_phase_2_spanish_design_house_for_sale-54468042-11172-1.html,Al Hafeez Garden,Phase 2,block,House,5.0,3.0,4.0,27500000.0,25,20200000.0,26100000.0,29799999.999999993,within,0.0,high,26241016.0,https://media.zameen.com/thumbnails/306137778-400x300.jpeg
15369,5 Marla Brand New House For Sale In Jinnah Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_jinnah_block_5_marla_brand_new_house_for_sale_in_jinnah_block_bahria_town_lahore-54639324-1804-1.html,Bahria Town,Jinnah Block,block,House,5.0,3.0,5.0,24000000.0,53,19900000.0,24000000.0,28599999.999999996,within,0.0,high,24136900.0,https://media.zameen.com/thumbnails/306263384-400x300.jpeg
15370,Fully Furnished With Pool And Basement 1 Kanal House In DHA Phase 6 For Sale,https://www.zameen.com/Property/dha_defence_dha_phase_6_fully_furnished_with_pool_and_basement_1_kanal_house_in_dha_phase_6_for_sale-54369666-1448-1.html,DHA Phase 6,,area,House,20.0,5.0,5.0,87000000.0,1003,87500000.0,112500000.0,190000000.0,within,0.0,high,90201992.0,https://media.zameen.com/thumbnails/305112371-400x300.jpeg
15371,5 MARLA BRAND NEW DESIGNER HOUSE FOR SALE,https://www.zameen.com/Property/nasheman_e_iqbal_nasheman-e-iqbal_phase_2_5_marla_brand_new_designer_house_for_sale-54210167-4071-1.html,Nasheman-e-Iqbal Phase 2,,area,House,5.0,5.0,6.0,24000000.0,35,21050000.0,22700000.0,24000000.0,within,0.0,high,23228924.0,https://media.zameen.com/thumbnails/303305887-400x300.jpeg
15372,11 Marla Corner House for Sale in Quaid Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_quaid_block_11_marla_corner_house_for_sale_in_quaid_block_bahria_town_lahore-54639284-1808-1.html,Bahria Town,Quaid Block,block,House,11.0,5.0,7.0,55000000.0,24,33450000.0,43750000.0,59500000.0,within,0.0,high,49892436.0,https://media.zameen.com/thumbnails/306263083-400x300.jpeg
15374,8 Marla House For Sale in Bahria Orchard Raiwind Road Lahore,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_8_marla_house_for_sale_in_bahria_orchard_raiwind_road_lahore-54623283-8236-1.html,Bahria Orchard Phase 2,,area,House,8.0,5.0,6.0,24000000.0,25,23000000.0,25500000.0,28419999.999999996,within,0.0,high,23939884.0,https://media.zameen.com/thumbnails/306105405-400x300.jpeg
15375,Victoria Design Full Furnished House For Sale With 15-Kv Solar At Top Location Near Dolmen Mall,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_b_victoria_design_full_furnished_house_for_sale_with_15-kv_solar_at_top_location_near_dolmen_mall-54056490-1611-1.html,DHA Phase 6,Block B,block,House,20.0,5.0,6.0,137500000.0,40,93350000.0,117500000.0,199000000.0,within,0.0,high,108424024.0,https://media.zameen.com/thumbnails/299772414-400x300.jpeg
15376,Villa For Sale At Hot Location Near Carrefour &Amp; Park Commercial,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_q_villa_for_sale_at_hot_location_near_carrefour_amp_park_commercial-54052298-1624-1.html,DHA Phase 7,Block Q,block,House,20.0,5.0,6.0,100000000.0,44,72950000.0,86250000.0,123399999.99999997,within,0.0,high,84549976.0,https://media.zameen.com/thumbnails/302931285-400x300.jpeg
15377,Classic Design Bungalow For Sale at Super Hot Location MacDonald Big Park,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_classic_design_bungalow_for_sale_at_super_hot_location_macdonald_big_park-54051764-1632-1.html,DHA Phase 7,Block Y,block,House,20.0,5.0,6.0,77500000.0,70,75350000.0,85500000.0,119825000.0,within,0.0,high,84549976.0,https://media.zameen.com/thumbnails/302356709-400x300.jpeg
15378,15 KV Solar Slightly Used House For Sale At 70 Feet Road Top Location Near Jalal Sons,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_15_kv_solar_slightly_used_house_for_sale_at_70_feet_road_top_location_near_jalal_sons-54042265-1612-1.html,DHA Phase 6,Block C,block,House,20.0,5.0,6.0,86000000.0,45,89680000.0,102500000.0,239000000.0,within,0.0,high,97506312.0,https://media.zameen.com/thumbnails/301416262-400x300.jpeg
